Customer_ID,Age,Gender,City,Income,Purchase_Amount,Product_Category,Payment_Method,Order_Status,Order_Date,Delivery_Time_Days,Discount_Applied,Rating,Return_Status,Customer_Segment,Region,Sales_Channel,Loyalty_Points,Coupon_Used,Shipping_Cost,Profit
13,44,Male,Bangalore,63540,3115,Clothing,UPI,Cancelled,2023-01-01 12:00:00,4,1,2,Returned,Regular,East,Offline,72,1,57,553
14,49,Male,Chennai,81232,206,Electronics,UPI,Completed,2023-01-01 13:00:00,9,0,2,Returned,VIP,West,Online,840,1,292,-22
15,36,Male,Delhi,56616,2372,Grocery,UPI,Cancelled,2023-01-01 14:00:00,1,1,4,Returned,VIP,West,Online,927,1,440,1107
16,25,Female,Bangalore,140556,4924,Electronics,Card,Cancelled,2023-01-01 15:00:00,5,0,2,Not Returned,VIP,South,Offline,517,1,280,1635
17,64,Female,Hyderabad,82712,1979,Clothing,Card,Cancelled,2023-01-01 16:00:00,7,0,3,Not Returned,VIP,North,Online,930,0,83,1740
18,34,Female,Bangalore,45588,265,Grocery,Cash,Completed,2023-01-01 17:00:00,2,0,1,Returned,Regular,South,Online,212,1,389,830
19,67,Female,Hyderabad,58235,923,Electronics,Card,Cancelled,2023-01-01 18:00:00,6,1,3,Returned,Premium,West,Offline,469,0,41,42
20,55,Male,Bangalore,103863,2965,Furniture,Card,Completed,2023-01-01 19:00:00,7,1,1,Returned,VIP,East,Online,119,1,149,21
21,69,Female,Hyderabad,46339,3517,Electronics,Cash,Pending,2023-01-01 20:00:00,9,1,3,Returned,Regular,North,Online,841,0,273,866
22,33,Male,Hyderabad,96159,625,Grocery,UPI,Completed,2023-01-01 21:00:00,7,1,5,Not Returned,VIP,West,Online,337,1,167,1759
23,49,Female,Bangalore,110341,2233,Furniture,UPI,Pending,2023-01-01 22:00:00,3,1,1,Not Returned,Regular,West,Online,928,0,97,786
24,59,Male,Delhi,126569,2730,Grocery,Cash,Cancelled,2023-01-01 23:00:00,8,0,4,Not Returned,Premium,West,Offline,969,1,374,211
25,37,Male,Bangalore,83247,3332,Furniture,Card,Pending,2023-01-02 00:00:00,2,1,3,Not Returned,Premium,South,Online,658,1,41,291
26,47,Female,Delhi,90681,2356,Clothing,Cash,Completed,2023-01-02 01:00:00,3,1,1,Returned,Premium,South,Online,294,0,237,277
27,54,Female,Hyderabad,51008,811,Clothing,UPI,Cancelled,2023-01-02 02:00:00,6,0,2,Returned,Premium,West,Offline,455,0,173,1112
28,30,Female,Bangalore,131491,1856,Clothing,Cash,Cancelled,2023-01-02 03:00:00,3,1,5,Not Returned,Regular,West,Offline,191,0,359,1117
29,41,Male,Hyderabad,98322,1141,Furniture,Card,Cancelled,2023-01-02 04:00:00,5,0,4,Returned,Regular,North,Online,218,0,489,79
30,31,Female,Chennai,63582,4284,Electronics,Cash,Completed,2023-01-02 05:00:00,6,1,4,Not Returned,Regular,East,Offline,181,1,53,-290
31,37,Male,Delhi,46676,4496,Electronics,Card,Pending,2023-01-02 06:00:00,9,0,2,Returned,Regular,West,Online,879,0,164,1945
32,59,Male,Bangalore,139888,3285,Clothing,Card,Completed,2023-01-02 07:00:00,5,1,2,Returned,Regular,North,Offline,978,1,227,267
33,51,Female,Mumbai,140016,4687,Electronics,Cash,Cancelled,2023-01-02 08:00:00,5,1,3,Returned,Premium,West,Online,116,1,415,1540
34,31,Female,Bangalore,139281,1531,Grocery,Card,Pending,2023-01-02 09:00:00,9,0,1,Returned,VIP,East,Online,498,0,308,461
35,22,Male,Chennai,85163,275,Furniture,Cash,Pending,2023-01-02 10:00:00,3,0,2,Not Returned,Premium,South,Offline,167,1,439,26
36,38,Female,Mumbai,149700,3744,Clothing,Card,Completed,2023-01-02 11:00:00,7,1,5,Not Returned,VIP,East,Offline,373,0,121,1728
37,19,Female,Chennai,54532,2135,Furniture,UPI,Pending,2023-01-02 12:00:00,6,1,1,Returned,VIP,South,Offline,482,0,340,233
38,41,Female,Mumbai,37447,3414,Grocery,Card,Cancelled,2023-01-02 13:00:00,7,1,5,Not Returned,VIP,West,Offline,173,1,197,584
39,57,Female,Chennai,55012,3270,Grocery,UPI,Completed,2023-01-02 14:00:00,1,1,3,Returned,VIP,South,Offline,781,1,478,1962
40,25,Male,Hyderabad,136645,2125,Clothing,Cash,Pending,2023-01-02 15:00:00,7,0,3,Not Returned,VIP,East,Offline,184,0,407,106
41,69,Female,Delhi,22012,1583,Electronics,UPI,Pending,2023-01-02 16:00:00,2,0,4,Not Returned,Premium,East,Offline,563,0,257,1879
42,40,Female,Chennai,130928,1335,Grocery,Card,Pending,2023-01-02 17:00:00,5,0,2,Returned,VIP,North,Offline,248,1,472,1851
43,69,Male,Chennai,134167,1898,Furniture,Card,Cancelled,2023-01-02 18:00:00,7,1,1,Not Returned,VIP,North,Offline,980,1,187,1940
44,42,Male,Delhi,143044,3652,Clothing,Cash,Completed,2023-01-02 19:00:00,1,0,5,Returned,Regular,East,Offline,988,1,450,1589
45,46,Female,Mumbai,30823,4093,Clothing,UPI,Cancelled,2023-01-02 20:00:00,4,1,2,Not Returned,Regular,East,Offline,686,0,330,-500
46,25,Male,Mumbai,107542,1916,Electronics,Cash,Completed,2023-01-02 21:00:00,7,0,4,Returned,Premium,North,Offline,414,0,286,1256
47,27,Female,Delhi,131188,1608,Grocery,Cash,Completed,2023-01-02 22:00:00,3,0,2,Not Returned,Regular,North,Offline,796,0,80,1263
48,34,Male,Chennai,41865,4617,Electronics,Cash,Completed,2023-01-02 23:00:00,6,1,2,Returned,Regular,North,Online,678,1,452,738
49,21,Female,Mumbai,74178,1889,Grocery,Cash,Completed,2023-01-03 00:00:00,9,1,1,Returned,Regular,South,Online,727,0,26,675
50,62,Female,Bangalore,49564,1990,Grocery,Cash,Completed,2023-01-03 01:00:00,6,0,5,Returned,Premium,West,Online,664,1,350,-376
51,57,Female,Bangalore,42421,889,Clothing,Cash,Completed,2023-01-03 02:00:00,7,1,1,Returned,Regular,West,Offline,357,0,214,954
52,60,Female,Bangalore,131756,3897,Electronics,Card,Completed,2023-01-03 03:00:00,8,0,2,Not Returned,Regular,South,Online,564,0,171,1326
53,33,Female,Bangalore,125210,4244,Furniture,Card,Cancelled,2023-01-03 04:00:00,7,0,2,Returned,Premium,East,Offline,902,0,100,-406
54,63,Male,Chennai,29551,3441,Electronics,Cash,Completed,2023-01-03 05:00:00,3,1,3,Returned,VIP,North,Offline,327,1,428,1492
55,51,Male,Delhi,129349,3564,Furniture,UPI,Pending,2023-01-03 06:00:00,7,1,4,Not Returned,Regular,East,Offline,409,0,266,96
56,57,Female,Bangalore,133398,3732,Furniture,Cash,Completed,2023-01-03 07:00:00,5,1,5,Returned,VIP,West,Offline,614,1,410,417
57,64,Male,Chennai,104951,3604,Grocery,Card,Completed,2023-01-03 08:00:00,2,0,5,Returned,Premium,West,Online,540,0,99,1448
58,35,Female,Chennai,32901,1035,Furniture,UPI,Cancelled,2023-01-03 09:00:00,6,1,4,Not Returned,VIP,East,Online,807,0,131,560
59,44,Female,Hyderabad,56730,2133,Furniture,Cash,Completed,2023-01-03 10:00:00,5,1,2,Returned,Premium,East,Online,312,0,441,-90
60,29,Female,Mumbai,29245,2139,Furniture,Cash,Completed,2023-01-03 11:00:00,3,0,2,Not Returned,Regular,North,Offline,848,1,229,-431
61,57,Female,Chennai,137861,3123,Furniture,Cash,Cancelled,2023-01-03 12:00:00,6,1,4,Returned,VIP,South,Online,917,0,274,1919
62,37,Male,Bangalore,53928,3301,Grocery,Card,Completed,2023-01-03 13:00:00,7,1,4,Not Returned,Regular,West,Online,1,0,401,-393
63,57,Male,Mumbai,146841,1442,Grocery,Card,Pending,2023-01-03 14:00:00,6,1,1,Not Returned,VIP,West,Online,946,0,338,-396
64,21,Male,Bangalore,123911,1813,Clothing,Cash,Completed,2023-01-03 15:00:00,2,1,3,Not Returned,VIP,West,Offline,993,1,301,-193
65,64,Female,Chennai,43232,4742,Clothing,UPI,Cancelled,2023-01-03 16:00:00,8,0,2,Not Returned,Regular,North,Online,909,1,292,1861
66,32,Male,Delhi,97785,1721,Electronics,Card,Cancelled,2023-01-03 17:00:00,3,0,4,Returned,Regular,South,Offline,418,0,82,1257
67,33,Male,Bangalore,80514,1931,Grocery,Card,Pending,2023-01-03 18:00:00,9,0,1,Not Returned,VIP,West,Offline,194,0,179,1998
68,43,Male,Mumbai,107853,791,Electronics,UPI,Pending,2023-01-03 19:00:00,7,1,1,Returned,Premium,West,Offline,982,1,358,957
69,18,Female,Chennai,72631,1959,Grocery,Card,Pending,2023-01-03 20:00:00,6,1,1,Not Returned,VIP,West,Online,832,1,303,-141
70,46,Female,Hyderabad,26128,2473,Grocery,UPI,Completed,2023-01-03 21:00:00,9,1,2,Returned,VIP,West,Offline,545,1,243,651
71,27,Female,Chennai,130904,1175,Grocery,Cash,Cancelled,2023-01-03 22:00:00,4,1,4,Not Returned,VIP,South,Offline,938,0,47,503
72,18,Female,Mumbai,23578,4314,Furniture,UPI,Pending,2023-01-03 23:00:00,2,0,4,Returned,VIP,South,Online,775,0,207,1641
73,25,Female,Bangalore,33732,2211,Clothing,Card,Pending,2023-01-04 00:00:00,2,0,3,Not Returned,Regular,West,Offline,797,1,386,1193
74,45,Male,Bangalore,148622,3503,Furniture,Cash,Cancelled,2023-01-04 01:00:00,2,0,2,Returned,Regular,South,Offline,272,0,304,-155
75,46,Male,Delhi,141986,682,Grocery,Cash,Cancelled,2023-01-04 02:00:00,9,0,5,Not Returned,Premium,East,Offline,168,0,329,1371
76,29,Male,Mumbai,23394,1415,Clothing,Card,Completed,2023-01-04 03:00:00,9,1,4,Not Returned,Regular,East,Offline,697,1,149,-325
77,26,Female,Bangalore,131632,2226,Electronics,Cash,Pending,2023-01-04 04:00:00,7,0,3,Returned,Premium,East,Online,797,1,429,-454
78,66,Female,Bangalore,38432,1919,Clothing,Card,Cancelled,2023-01-04 05:00:00,6,1,3,Returned,VIP,West,Online,86,1,191,1128
79,24,Female,Hyderabad,78333,4593,Furniture,UPI,Pending,2023-01-04 06:00:00,1,0,2,Not Returned,Premium,South,Offline,219,1,176,351
80,20,Female,Hyderabad,98542,4927,Clothing,Cash,Pending,2023-01-04 07:00:00,1,0,5,Not Returned,Premium,South,Offline,512,1,114,1876
81,65,Male,Bangalore,95917,3362,Clothing,Card,Completed,2023-01-04 08:00:00,8,1,5,Not Returned,Premium,West,Offline,450,0,226,-477
82,36,Female,Delhi,78477,2849,Clothing,Card,Pending,2023-01-04 09:00:00,4,0,5,Returned,Premium,North,Online,819,1,224,1928
83,69,Female,Chennai,146612,1370,Electronics,Card,Cancelled,2023-01-04 10:00:00,7,0,3,Not Returned,VIP,East,Offline,611,0,417,-289
84,41,Male,Chennai,80896,1890,Clothing,UPI,Completed,2023-01-04 11:00:00,2,1,4,Not Returned,Regular,South,Offline,82,1,142,1990
85,47,Female,Hyderabad,148559,4501,Electronics,Cash,Pending,2023-01-04 12:00:00,3,1,4,Not Returned,VIP,East,Offline,146,1,243,701
86,57,Male,Mumbai,38720,3479,Furniture,Cash,Pending,2023-01-04 13:00:00,2,1,5,Returned,Regular,South,Online,921,1,187,1738
87,64,Female,Delhi,78972,4584,Furniture,Card,Pending,2023-01-04 14:00:00,5,1,4,Not Returned,VIP,West,Offline,387,0,495,1100
88,28,Male,Chennai,125399,3421,Furniture,Card,Completed,2023-01-04 15:00:00,6,0,4,Not Returned,Regular,East,Offline,614,0,353,909
89,45,Male,Mumbai,54572,4703,Electronics,UPI,Completed,2023-01-04 16:00:00,3,1,5,Not Returned,VIP,West,Online,957,1,220,1026
90,33,Female,Chennai,30706,4725,Grocery,Cash,Completed,2023-01-04 17:00:00,2,1,5,Not Returned,Regular,North,Offline,442,1,272,230
91,53,Male,Delhi,41871,3848,Grocery,Cash,Completed,2023-01-04 18:00:00,1,0,1,Returned,VIP,East,Online,797,0,434,678
92,31,Female,Hyderabad,41149,3551,Electronics,Card,Cancelled,2023-01-04 19:00:00,7,0,4,Not Returned,Premium,South,Offline,368,0,152,1708
93,57,Female,Hyderabad,73877,4004,Clothing,Cash,Pending,2023-01-04 20:00:00,8,0,3,Not Returned,Regular,North,Online,138,0,220,-164
94,58,Male,Delhi,113656,1239,Furniture,UPI,Pending,2023-01-04 21:00:00,4,1,1,Returned,Regular,West,Offline,534,0,180,1818
95,64,Female,Mumbai,57390,2438,Electronics,Card,Pending,2023-01-04 22:00:00,9,1,2,Not Returned,VIP,East,Offline,83,0,80,1332
96,44,Male,Mumbai,74240,4517,Grocery,Cash,Completed,2023-01-04 23:00:00,9,0,1,Not Returned,Premium,West,Offline,252,1,161,1329
97,39,Male,Hyderabad,20381,3662,Furniture,Card,Pending,2023-01-05 00:00:00,2,1,1,Not Returned,VIP,North,Online,334,1,491,776
98,48,Male,Chennai,92738,554,Electronics,UPI,Cancelled,2023-01-05 01:00:00,6,0,4,Not Returned,Premium,East,Online,440,1,144,-315
99,68,Male,Delhi,119683,2395,Grocery,UPI,Completed,2023-01-05 02:00:00,1,1,5,Not Returned,Regular,East,Online,938,0,466,-269
100,29,Male,Bangalore,26000,1167,Electronics,Card,Completed,2023-01-05 03:00:00,2,0,3,Returned,Premium,South,Online,13,0,219,233
101,21,Male,Chennai,42380,2922,Electronics,UPI,Pending,2023-01-05 04:00:00,8,0,2,Not Returned,Premium,West,Offline,137,1,417,1661
102,25,Male,Mumbai,26662,4373,Furniture,Card,Cancelled,2023-01-05 05:00:00,5,1,2,Not Returned,VIP,South,Online,860,1,385,589
103,23,Male,Chennai,68019,3333,Grocery,UPI,Completed,2023-01-05 06:00:00,2,0,5,Not Returned,Premium,West,Offline,971,0,195,1982
104,52,Male,Delhi,149229,1230,Grocery,Cash,Cancelled,2023-01-05 07:00:00,5,1,1,Not Returned,Regular,East,Offline,999,0,36,1469
105,64,Female,Delhi,137660,1667,Furniture,Card,Cancelled,2023-01-05 08:00:00,6,0,4,Not Returned,VIP,South,Online,692,1,487,1242
106,24,Male,Chennai,50084,2758,Furniture,Card,Pending,2023-01-05 09:00:00,2,0,1,Not Returned,Premium,North,Online,300,1,231,191
107,64,Male,Chennai,69323,2954,Furniture,UPI,Pending,2023-01-05 10:00:00,9,1,3,Not Returned,Premium,North,Online,815,0,155,1053
108,51,Male,Delhi,118814,4454,Furniture,Cash,Cancelled,2023-01-05 11:00:00,4,1,4,Returned,Regular,East,Offline,650,1,195,682
109,24,Male,Delhi,75125,2559,Clothing,Card,Cancelled,2023-01-05 12:00:00,8,1,3,Not Returned,Premium,North,Online,16,1,414,-295
110,36,Female,Delhi,109127,521,Furniture,UPI,Pending,2023-01-05 13:00:00,5,0,2,Returned,Premium,North,Online,460,0,327,439
111,23,Male,Bangalore,119577,4510,Clothing,UPI,Completed,2023-01-05 14:00:00,4,0,2,Not Returned,VIP,North,Offline,858,1,415,433
112,64,Female,Chennai,57223,1661,Clothing,Card,Completed,2023-01-05 15:00:00,8,0,5,Returned,Premium,East,Offline,634,0,141,1458
113,42,Female,Chennai,69059,3346,Clothing,UPI,Cancelled,2023-01-05 16:00:00,2,0,1,Not Returned,Premium,North,Online,678,0,81,334
114,25,Female,Delhi,46462,2406,Clothing,UPI,Cancelled,2023-01-05 17:00:00,9,1,3,Not Returned,VIP,South,Online,420,0,170,1407
115,57,Female,Mumbai,80403,2594,Furniture,Cash,Pending,2023-01-05 18:00:00,8,1,1,Returned,VIP,South,Offline,405,1,261,1189
116,66,Female,Hyderabad,123406,558,Furniture,Card,Cancelled,2023-01-05 19:00:00,6,0,1,Not Returned,Regular,East,Online,644,1,165,951
117,27,Male,Chennai,92000,3034,Grocery,Cash,Cancelled,2023-01-05 20:00:00,2,0,5,Returned,Premium,South,Online,811,0,389,1796
118,18,Male,Delhi,92712,588,Grocery,Card,Cancelled,2023-01-05 21:00:00,2,0,3,Not Returned,Regular,West,Offline,168,0,27,1456
119,19,Female,Delhi,60624,1569,Electronics,Card,Cancelled,2023-01-05 22:00:00,3,1,1,Not Returned,VIP,East,Online,849,1,305,-395
120,59,Male,Bangalore,67507,3688,Electronics,Cash,Pending,2023-01-05 23:00:00,3,1,4,Not Returned,Premium,North,Offline,281,1,347,850
121,58,Male,Bangalore,46296,3081,Grocery,Card,Cancelled,2023-01-06 00:00:00,4,0,4,Returned,VIP,West,Online,352,1,190,857
122,41,Male,Delhi,63562,2475,Furniture,UPI,Pending,2023-01-06 01:00:00,1,0,4,Not Returned,Premium,South,Offline,411,0,497,159
123,44,Female,Hyderabad,47773,2257,Furniture,UPI,Completed,2023-01-06 02:00:00,8,1,5,Not Returned,Regular,West,Offline,985,0,110,259
124,50,Female,Mumbai,30433,1853,Clothing,Card,Cancelled,2023-01-06 03:00:00,3,1,2,Returned,VIP,South,Online,372,1,418,-365
125,21,Female,Mumbai,62483,1326,Clothing,Cash,Pending,2023-01-06 04:00:00,1,1,2,Returned,Premium,West,Online,107,0,134,-117
126,24,Female,Hyderabad,56561,2252,Clothing,Cash,Cancelled,2023-01-06 05:00:00,6,1,4,Returned,Regular,South,Offline,227,1,307,1241
127,27,Male,Mumbai,52828,3632,Furniture,Card,Completed,2023-01-06 06:00:00,4,1,2,Returned,Premium,South,Online,910,1,353,386
128,61,Male,Chennai,136883,3965,Clothing,UPI,Pending,2023-01-06 07:00:00,6,1,1,Not Returned,Premium,West,Offline,36,1,115,897
129,45,Female,Mumbai,92770,411,Electronics,Card,Pending,2023-01-06 08:00:00,4,1,1,Not Returned,VIP,West,Online,298,0,335,1299
130,53,Female,Delhi,120353,1685,Clothing,Card,Pending,2023-01-06 09:00:00,1,0,5,Not Returned,VIP,North,Offline,367,1,471,941
131,18,Male,Hyderabad,79146,4869,Electronics,Cash,Cancelled,2023-01-06 10:00:00,2,1,5,Returned,Regular,North,Offline,587,1,369,198
132,58,Female,Bangalore,94610,2650,Clothing,UPI,Cancelled,2023-01-06 11:00:00,1,0,5,Not Returned,VIP,East,Online,936,0,436,1780
133,65,Male,Bangalore,141347,1733,Furniture,Card,Completed,2023-01-06 12:00:00,2,1,2,Returned,VIP,North,Online,544,1,56,-366
134,22,Male,Hyderabad,108136,3676,Clothing,Cash,Completed,2023-01-06 13:00:00,7,1,2,Returned,Premium,West,Online,267,0,262,1788
135,45,Female,Delhi,62011,336,Clothing,Card,Cancelled,2023-01-06 14:00:00,7,0,3,Returned,Premium,West,Online,465,0,446,1746
136,63,Male,Chennai,55094,1454,Furniture,Card,Cancelled,2023-01-06 15:00:00,2,0,3,Returned,Premium,South,Online,372,0,242,1394
137,40,Male,Mumbai,38057,204,Grocery,UPI,Completed,2023-01-06 16:00:00,9,1,2,Not Returned,Regular,North,Online,9,0,221,1274
138,43,Male,Chennai,128889,3698,Electronics,Card,Cancelled,2023-01-06 17:00:00,1,0,5,Not Returned,VIP,South,Online,79,1,277,108
139,62,Male,Hyderabad,87473,4499,Grocery,UPI,Cancelled,2023-01-06 18:00:00,8,0,3,Returned,Regular,East,Offline,877,1,139,1929
140,32,Male,Bangalore,80182,2869,Grocery,Card,Completed,2023-01-06 19:00:00,5,1,5,Returned,VIP,North,Offline,72,1,213,1884
141,24,Male,Chennai,84951,827,Clothing,Cash,Completed,2023-01-06 20:00:00,6,1,3,Returned,Premium,North,Online,454,1,213,-16
142,67,Male,Chennai,109704,1827,Furniture,Cash,Completed,2023-01-06 21:00:00,8,1,3,Returned,Premium,South,Online,795,1,126,404
143,45,Female,Delhi,90504,3518,Clothing,Card,Cancelled,2023-01-06 22:00:00,8,0,5,Returned,Regular,East,Online,816,0,283,-221
144,41,Male,Mumbai,140925,4082,Furniture,Cash,Cancelled,2023-01-06 23:00:00,7,1,3,Not Returned,Premium,East,Online,991,0,234,439
145,59,Female,Delhi,81831,1958,Grocery,UPI,Cancelled,2023-01-07 00:00:00,3,1,2,Returned,VIP,North,Offline,38,1,116,-189
146,54,Female,Delhi,48407,826,Furniture,Card,Completed,2023-01-07 01:00:00,9,0,3,Not Returned,Premium,West,Online,56,1,352,1848
147,57,Male,Chennai,111206,3378,Clothing,Cash,Completed,2023-01-07 02:00:00,8,1,5,Not Returned,Regular,West,Offline,825,1,282,914
148,61,Male,Mumbai,91364,3068,Furniture,Cash,Pending,2023-01-07 03:00:00,8,0,2,Not Returned,VIP,East,Online,674,0,374,39
149,40,Female,Chennai,26416,3928,Clothing,UPI,Cancelled,2023-01-07 04:00:00,2,1,2,Returned,Premium,South,Online,710,0,282,1366
150,48,Male,Bangalore,110202,4960,Clothing,Card,Pending,2023-01-07 05:00:00,2,1,3,Returned,Premium,North,Offline,26,1,454,840
151,43,Male,Hyderabad,116592,2412,Furniture,Cash,Completed,2023-01-07 06:00:00,3,0,1,Not Returned,Premium,East,Offline,996,0,104,1606
152,23,Male,Bangalore,56685,2373,Grocery,Card,Pending,2023-01-07 07:00:00,5,1,5,Returned,VIP,West,Offline,608,1,433,-125
153,30,Male,Delhi,85400,1117,Electronics,Cash,Pending,2023-01-07 08:00:00,2,0,2,Returned,Premium,South,Offline,656,1,51,617
154,19,Male,Delhi,69554,2060,Clothing,Cash,Pending,2023-01-07 09:00:00,8,1,3,Not Returned,VIP,East,Online,696,1,330,1311
155,41,Male,Chennai,71843,2538,Grocery,Cash,Cancelled,2023-01-07 10:00:00,4,0,4,Not Returned,Premium,South,Online,668,1,255,-227
156,28,Female,Bangalore,116599,838,Electronics,UPI,Pending,2023-01-07 11:00:00,9,0,1,Not Returned,Regular,South,Online,682,0,354,-115
157,57,Male,Bangalore,110663,285,Furniture,UPI,Cancelled,2023-01-07 12:00:00,7,0,5,Not Returned,Regular,West,Online,576,1,181,-83
158,61,Female,Chennai,127673,4593,Clothing,UPI,Cancelled,2023-01-07 13:00:00,5,0,3,Not Returned,Premium,West,Offline,865,1,427,1425
159,21,Female,Hyderabad,60581,4234,Clothing,UPI,Pending,2023-01-07 14:00:00,7,1,5,Returned,Regular,South,Online,397,0,353,1030
160,47,Female,Delhi,75237,2482,Electronics,Card,Pending,2023-01-07 15:00:00,8,1,2,Not Returned,Premium,West,Offline,9,0,322,535
161,39,Female,Hyderabad,103119,3948,Furniture,Card,Completed,2023-01-07 16:00:00,2,0,5,Returned,Premium,West,Offline,625,1,167,-36
162,26,Male,Delhi,147072,2700,Furniture,Card,Pending,2023-01-07 17:00:00,7,1,3,Returned,VIP,West,Offline,595,0,472,691
163,51,Male,Hyderabad,51022,4931,Furniture,UPI,Pending,2023-01-07 18:00:00,3,1,1,Not Returned,Regular,South,Online,365,1,248,1377
164,44,Female,Hyderabad,77999,4321,Grocery,UPI,Cancelled,2023-01-07 19:00:00,5,0,5,Returned,Premium,North,Offline,242,0,96,1618
165,56,Male,Bangalore,99279,3892,Clothing,Cash,Pending,2023-01-07 20:00:00,9,1,5,Returned,Premium,South,Offline,860,1,101,541
166,64,Female,Hyderabad,34841,2415,Clothing,Card,Pending,2023-01-07 21:00:00,1,0,1,Returned,VIP,East,Online,483,1,34,1641
167,69,Male,Chennai,89093,1226,Grocery,Cash,Pending,2023-01-07 22:00:00,6,0,3,Returned,VIP,South,Online,173,1,209,1946
168,69,Male,Delhi,92939,2623,Furniture,Cash,Pending,2023-01-07 23:00:00,3,0,1,Returned,VIP,West,Online,458,0,97,-487
169,67,Female,Bangalore,78327,1112,Grocery,Card,Cancelled,2023-01-08 00:00:00,5,0,1,Returned,VIP,North,Offline,70,0,227,1015
170,65,Male,Mumbai,141011,360,Clothing,UPI,Pending,2023-01-08 01:00:00,7,0,4,Not Returned,VIP,East,Online,376,0,235,1570
171,69,Male,Delhi,101730,4914,Furniture,Card,Pending,2023-01-08 02:00:00,4,1,2,Not Returned,Premium,East,Offline,320,1,59,478
172,57,Female,Chennai,30691,4604,Furniture,Card,Cancelled,2023-01-08 03:00:00,2,1,4,Not Returned,VIP,North,Online,727,0,105,1856
173,29,Male,Chennai,28354,1511,Electronics,UPI,Pending,2023-01-08 04:00:00,7,1,1,Returned,Premium,West,Offline,186,1,255,-149
174,68,Male,Chennai,122263,1367,Furniture,Cash,Completed,2023-01-08 05:00:00,3,0,2,Not Returned,VIP,South,Offline,836,1,435,1079
175,23,Female,Bangalore,45748,915,Grocery,Card,Cancelled,2023-01-08 06:00:00,9,0,5,Returned,Regular,East,Offline,829,1,404,281
176,30,Male,Hyderabad,112637,3601,Electronics,Card,Cancelled,2023-01-08 07:00:00,3,1,1,Returned,Regular,North,Online,410,1,193,1790
177,50,Female,Chennai,146113,963,Grocery,UPI,Pending,2023-01-08 08:00:00,7,1,1,Not Returned,Premium,West,Online,314,1,171,1137
178,45,Female,Mumbai,45821,1140,Grocery,Card,Completed,2023-01-08 09:00:00,3,0,5,Returned,VIP,South,Online,587,0,103,830
179,62,Male,Chennai,118507,1361,Electronics,Cash,Completed,2023-01-08 10:00:00,5,0,1,Returned,Regular,South,Online,483,1,352,1598
180,57,Female,Hyderabad,106709,4701,Grocery,UPI,Pending,2023-01-08 11:00:00,5,0,4,Not Returned,Premium,North,Online,555,0,203,148
181,58,Male,Delhi,77434,1224,Grocery,Card,Cancelled,2023-01-08 12:00:00,6,1,2,Returned,Regular,West,Offline,755,1,138,327
182,68,Male,Hyderabad,28465,3088,Furniture,Cash,Cancelled,2023-01-08 13:00:00,8,0,2,Not Returned,VIP,South,Online,5,1,218,163
183,57,Male,Bangalore,80300,481,Furniture,UPI,Cancelled,2023-01-08 14:00:00,2,0,4,Returned,Premium,South,Online,654,0,290,811
184,51,Male,Hyderabad,72755,192,Electronics,UPI,Completed,2023-01-08 15:00:00,2,1,2,Not Returned,Regular,West,Online,145,1,120,1754
185,67,Female,Hyderabad,45737,305,Electronics,Cash,Pending,2023-01-08 16:00:00,2,1,1,Returned,Regular,West,Online,211,1,226,1362
